{stand}{crowd}	sup=19
{many}{time}{try}	sup=2
{time}{say}	sup=2
{time}{come}	sup=2
{time}{lose}	sup=2
{time}{right}{change}	sup=2
{try}{get}	sup=2
{try}{lie}	sup=2
{still}{cage}{inside}	sup=2
{still}{get}{nowhere}{else}{go}	sup=2
{still}{rage}{inside}	sup=2
{somebody}{help}{nightmare}	sup=2
{somebody}{wake}{nightmare}	sup=2
{get}{get}{back}{stand}{crowd}	sup=2
{get}{knock}{get}{back}{stand}	sup=2
{get}{knock}{get}{back}{crowd}	sup=2
{get}{knock}{get}{stand}{crowd}	sup=2
{get}{knock}{back}{stand}{crowd}	sup=2
{see}{life}	sup=2
{see}{eye}{eye}	sup=2
{one}{thing}	sup=2
{one}{like}	sup=2
{one}{stand}{crowd}	sup=2
{ever}{feel}	sup=2
{ever}{look}	sup=2
{animal}{animal}{animal}{animal}{animal}	sup=2
{wake}{living}{nightmare}	sup=2
{never}{think}{d}{stuck}{mess}	sup=2
{never}{feel}	sup=2
{never}{decide}	sup=2
{learn}{live}{life}	sup=2
{world}{never}	sup=2
{world}{disassemble}	sup=2
{world}{around}	sup=2
{well}{keep}{head}	sup=2
{leave}{alone}	sup=2
{betray}{disgrace}	sup=2
{long}{ago}	sup=2
{make}{side}	sup=2
{make}{life}{know}	sup=2
{make}{feel}{like}	sup=2
{make}{fall}	sup=2
{good}{morning}{day}	sup=2
{use}{let}	sup=2
{take}{give}	sup=2
{take}{hand}	sup=2
{come}{clear}	sup=2
{come}{back}{win}	sup=2
{come}{life}	sup=2
{come}{watch}{watch}{burn}	sup=2
{come}{home}	sup=2
{lose}{soul}	sup=2
{want}{back}	sup=2
{want}{hear}{anymore}	sup=2
{back}{today}	sup=2
{life}{think}	sup=2
{know}{well}	sup=2
{know}{d.}{get}	sup=2
{give}{reason}	sup=2
{always}{think}	sup=2
{always}{know}	sup=2
{way}{slow}	sup=2
{tonight}{start}{fire}	sup=2
{tonight}{break}{away}	sup=2
{something}{wrong}	sup=2
{everything}{away}	sup=2
{stand}{stand}	sup=2
{stand}{alone}	sup=2
{night}{feel}	sup=2
{feel}{empty}	sup=2
{feel}{angry}	sup=2
{feel}{everyday}	sup=2
{feel}{numb}	sup=2
{go}{back}	sup=2
{go}{go}	sup=2
{go}{hope}	sup=2
{light}{go}{understand}	sup=2
{hard}{even}	sup=2
{even}{try}	sup=2
{hold}{hold}	sup=2
{would}{guess}	sup=2
{save}{drown}{drown}	sup=2
{fade}{away}	sup=2
{stay}{night}	sup=2
{glad}{disappear}	sup=2
{could}{mean}	sup=2
{could}{angry}	sup=2
{hardly}{wait}	sup=2
{every}{time}{lie}{awake}	sup=2
{every}{hit}{take}	sup=2
{every}{feeling}{get}	sup=2
{haven}{miss}{yet}	sup=2
{mind}{always}{race}	sup=2
{trip}{begin}	sup=2
{die}{die}	sup=2
{remember}{say}	sup=2
{pull}{away}	sup=2
{sick}{wonder}	sup=2
{lead}{believe}	sup=2
{least}{try}	sup=2
{frozen}{time}	sup=2
{deep}{inside}	sup=2
{time}{change}	sup=3
{still}{hear}{say}	sup=3
{still}{nowhere}{else}{go}	sup=3
{change}{mind}	sup=3
{lie}{deny}{feel}{much}{well}	sup=3
{let}{inside}	sup=3
{let}{get}{close}	sup=3
{let}{show}{always}{hide}	sup=3
{never}{think}{d}	sup=3
{never}{want}{come}	sup=3
{never}{satisfy}	sup=3
{world}{stop}{turn}{round}	sup=3
{wanted}{waste}	sup=3
{think}{standing}{beside}	sup=3
{take}{long}{see}	sup=3
{come}{way}	sup=3
{want}{end}{life}	sup=3
{life}{death}	sup=3
{know}{go}	sup=3
{somewhere}{someone}{someone}{gun}{laugh}	sup=3
{somewhere}{someone}{gun}{someone}{gun}	sup=3
{somewhere}{someone}{gun}{someone}{laugh}	sup=3
{somewhere}{someone}{gun}{gun}{laugh}	sup=3
