{all}	sup=79
{for}	sup=80
{like}{a}	sup=2
{like}{you}{be}	sup=2
{like}{of}	sup=2
{like}{me}	sup=2
{a}{place}{so}	sup=2
{a}{with}{i}	sup=2
{a}{time}	sup=2
{a}{no}{one}{should}{know}	sup=2
{a}{that}{no}{one}{know}	sup=2
{a}{that}{no}{one}{should}	sup=2
{a}{that}{no}{should}{know}	sup=2
{a}{that}{one}{should}{know}	sup=2
{a}{friend}{me}{be}{memory}	sup=2
{a}{friend}{once}{me}{be}	sup=2
{a}{friend}{once}{me}{memory}	sup=2
{a}{friend}{once}{tell}{be}	sup=2
{a}{friend}{once}{tell}{me}	sup=2
{a}{friend}{tell}{be}{memory}	sup=2
{a}{friend}{tell}{me}{be}	sup=2
{a}{friend}{tell}{me}{memory}	sup=2
{a}{good}{friend}{me}{be}	sup=2
{a}{good}{friend}{me}{memory}	sup=2
{a}{good}{friend}{once}{me}	sup=2
{a}{good}{friend}{once}{tell}	sup=2
{a}{good}{friend}{tell}{be}	sup=2
{a}{good}{friend}{tell}{me}	sup=2
{a}{good}{once}{me}{be}	sup=2
{a}{good}{once}{me}{memory}	sup=2
{a}{good}{once}{tell}{be}	sup=2
{a}{good}{once}{tell}{me}	sup=2
{a}{good}{tell}{be}{memory}	sup=2
{a}{good}{tell}{me}{be}	sup=2
{a}{good}{tell}{me}{memory}	sup=2
{a}{in}	sup=2
{a}{way}	sup=2
{a}{where}	sup=2
{a}{punishment}{from}{his}{hand}	sup=2
{a}{punishment}{send}{from}{hand}	sup=2
{a}{punishment}{send}{from}{his}	sup=2
{a}{punishment}{send}{his}{hand}	sup=2
{a}{send}{from}{his}{hand}	sup=2
{a}{hardship}{no}{one}{know}	sup=2
{a}{hardship}{no}{one}{should}	sup=2
{a}{hardship}{no}{should}{know}	sup=2
{a}{hardship}{that}{no}{one}	sup=2
{a}{hardship}{that}{no}{know}	sup=2
{a}{hardship}{that}{no}{should}	sup=2
{a}{hardship}{that}{one}{know}	sup=2
{a}{hardship}{that}{one}{should}	sup=2
{a}{hardship}{that}{should}{know}	sup=2
{a}{hardship}{one}{should}{know}	sup=2
{a}{once}{me}{be}{memory}	sup=2
{a}{once}{tell}{be}{memory}	sup=2
{a}{once}{tell}{me}{be}	sup=2
{a}{once}{tell}{me}{memory}	sup=2
{a}{road}{another}{cold}{state}	sup=2
{a}{road}{another}{cold}{line}	sup=2
{a}{road}{another}{state}{line}	sup=2
{a}{road}{cold}{state}{line}	sup=2
{a}{road}{cross}{another}{cold}	sup=2
{a}{road}{cross}{another}{state}	sup=2
{a}{road}{cross}{another}{line}	sup=2
{a}{road}{cross}{cold}{state}	sup=2
{a}{road}{cross}{cold}{line}	sup=2
{a}{road}{cross}{state}{line}	sup=2
{a}{lonely}{another}{cold}{state}	sup=2
{a}{lonely}{another}{cold}{line}	sup=2
{a}{lonely}{another}{state}{line}	sup=2
{a}{lonely}{road}{another}{cold}	sup=2
{a}{lonely}{road}{another}{state}	sup=2
{a}{lonely}{road}{another}{line}	sup=2
{a}{lonely}{road}{cold}{state}	sup=2
{a}{lonely}{road}{cold}{line}	sup=2
{a}{lonely}{road}{cross}{another}	sup=2
{a}{lonely}{road}{cross}{cold}	sup=2
{a}{lonely}{road}{cross}{state}	sup=2
{a}{lonely}{cross}{another}{cold}	sup=2
{a}{lonely}{cross}{another}{state}	sup=2
{a}{lonely}{cross}{another}{line}	sup=2
{a}{lonely}{cross}{cold}{state}	sup=2
{a}{lonely}{cross}{cold}{line}	sup=2
{a}{lonely}{cross}{state}{line}	sup=2
{a}{cross}{another}{cold}{state}	sup=2
{a}{cross}{another}{cold}{line}	sup=2
{a}{cross}{another}{state}{line}	sup=2
{a}{cross}{cold}{state}{line}	sup=2
{so}{but}	sup=2
{so}{i}{to}	sup=2
{so}{i}{set}{free}	sup=2
{so}{t}	sup=2
{so}{how}{do}{to}	sup=2
{so}{do}{i}	sup=2
{so}{far}{away}	sup=2
{so}{that}	sup=2
{so}{hard}	sup=2
{so}{in}	sup=2
{so}{dark}{i}	sup=2
{what}{happen}{to}{me}	sup=2
{you}{a}{to}	sup=2
{you}{be}{so}	sup=2
{you}{be}{you}	sup=2
{you}{be}{for}	sup=2
{you}{be}{to}{go}{to}	sup=2
{you}{be}{to}{go}{me}	sup=2
{you}{be}{to}{me}{go}	sup=2
{you}{be}{all}{to}{to}	sup=2
{you}{be}{all}{to}{go}	sup=2
{you}{be}{all}{go}{to}	sup=2
{you}{be}{all}{go}{go}	sup=2
{you}{be}{all}{go}{me}	sup=2
{you}{be}{all}{me}{to}	sup=2
{you}{be}{all}{me}{go}	sup=2
{you}{be}{all}{me}{me}	sup=2
{you}{be}{the}{to}{fall}	sup=2
{you}{be}{the}{one}{fall}	sup=2
{you}{be}{with}{do}{nothing}	sup=2
{you}{be}{go}{to}{to}	sup=2
{you}{be}{go}{to}{go}	sup=2
{you}{be}{go}{to}{me}	sup=2
{you}{be}{go}{go}{to}	sup=2
{you}{be}{go}{go}{me}	sup=2
{you}{be}{go}{me}{to}	sup=2
{you}{be}{go}{me}{go}	sup=2
{you}{be}{go}{me}{me}	sup=2
{you}{be}{one}{to}{fall}	sup=2
{you}{be}{sin}	sup=2
{you}{be}{close}{to}{me}	sup=2
{you}{be}{content}{do}{nothing}	sup=2
{you}{be}{content}{with}{do}	sup=2
{you}{be}{content}{with}{nothing}	sup=2
{you}{be}{dead}	sup=2
{you}{be}{waste}{deep}{inside}	sup=2
{you}{will}{be}{to}{fall}	sup=2
{you}{will}{be}{the}{fall}	sup=2
{you}{will}{be}{the}{to}	sup=2
{you}{will}{be}{the}{one}	sup=2
{you}{will}{be}{one}{fall}	sup=2
{you}{will}{be}{one}{to}	sup=2
{you}{will}{the}{to}{fall}	sup=2
{you}{will}{the}{one}{fall}	sup=2
{you}{will}{the}{one}{to}	sup=2
{you}{will}{one}{to}{fall}	sup=2
{you}{will}{learn}{your}{lesson}	sup=2
{you}{can}{t}{back}{time}	sup=2
{you}{can}{t}{bring}{back}	sup=2
{you}{can}{t}{bring}{time}	sup=2
{you}{can}{bring}{back}{time}	sup=2
{you}{t}{bring}{back}{time}	sup=2
{you}{all}{to}{to}{me}	sup=2
{you}{all}{to}{go}{to}	sup=2
