{it}{s}	sup=80
{i}{i}{i}{i}{know}	sup=2
{i}{i}{i}{know}{i}	sup=2
{i}{i}{i}{know}{know}	sup=2
{i}{i}{be}{this}{mess}	sup=2
{i}{i}{be}{in}{this}	sup=2
{i}{i}{be}{in}{mess}	sup=2
{i}{i}{be}{stick}{this}	sup=2
{i}{i}{be}{stick}{in}	sup=2
{i}{i}{be}{stick}{mess}	sup=2
{i}{i}{know}{i}{i}	sup=2
{i}{i}{know}{i}{know}	sup=2
{i}{i}{know}{know}{i}	sup=2
{i}{i}{know}{know}{know}	sup=2
{i}{i}{d}{be}{this}	sup=2
{i}{i}{d}{be}{in}	sup=2
{i}{i}{d}{be}{stick}	sup=2
{i}{i}{d}{in}{this}	sup=2
{i}{i}{d}{in}{mess}	sup=2
{i}{i}{d}{stick}{this}	sup=2
{i}{i}{d}{stick}{in}	sup=2
{i}{i}{d}{stick}{mess}	sup=2
{i}{i}{stick}{this}{mess}	sup=2
{i}{i}{stick}{in}{this}	sup=2
{i}{i}{stick}{in}{mess}	sup=2
{i}{can}{t}{get}	sup=2
{i}{can}{t}{to}{life}	sup=2
{i}{can}{t}{come}{to}	sup=2
{i}{can}{t}{come}{life}	sup=2
{i}{can}{t}{stop}	sup=2
{i}{can}{see}{my}{life}	sup=2
{i}{can}{come}{to}{life}	sup=2
{i}{can}{hardly}{wait}	sup=2
{i}{t}{i}	sup=2
{i}{t}{to}{it}{anymore}	sup=2
{i}{t}{to}{hear}{it}	sup=2
{i}{t}{to}{hear}{anymore}	sup=2
{i}{t}{want}{it}{anymore}	sup=2
{i}{t}{want}{to}{it}	sup=2
{i}{t}{want}{to}{hear}	sup=2
{i}{t}{want}{to}{anymore}	sup=2
{i}{t}{want}{hear}{it}	sup=2
{i}{t}{want}{hear}{anymore}	sup=2
{i}{t}{come}{to}{life}	sup=2
{i}{t}{need}{you}{here}	sup=2
{i}{t}{out}	sup=2
{i}{t}{hear}{it}{anymore}	sup=2
{i}{have}{the}	sup=2
{i}{have}{leave}	sup=2
{i}{have}{make}{you}	sup=2
{i}{have}{do}	sup=2
{i}{try}{to}{get}	sup=2
{i}{be}{myself}	sup=2
{i}{be}{not}{the}{time}	sup=2
{i}{be}{not}{there}	sup=2
{i}{be}{not}{all}{time}	sup=2
{i}{be}{not}{all}{the}	sup=2
{i}{be}{learn}{how}{to}	sup=2
{i}{be}{learn}{how}{life}	sup=2
{i}{be}{learn}{how}{live}	sup=2
{i}{be}{learn}{to}{life}	sup=2
{i}{be}{learn}{to}{live}	sup=2
{i}{be}{learn}{to}{on}	sup=2
{i}{be}{learn}{live}{my}	sup=2
{i}{be}{learn}{live}{life}	sup=2
{i}{be}{learn}{live}{on}	sup=2
{i}{be}{how}{to}{life}	sup=2
{i}{be}{how}{to}{live}	sup=2
{i}{be}{how}{to}{on}	sup=2
{i}{be}{how}{life}{my}	sup=2
{i}{be}{how}{life}{on}	sup=2
{i}{be}{how}{life}{own}	sup=2
{i}{be}{how}{live}{my}	sup=2
{i}{be}{how}{live}{life}	sup=2
{i}{be}{how}{live}{on}	sup=2
{i}{be}{to}{life}{my}	sup=2
{i}{be}{to}{life}{on}	sup=2
{i}{be}{to}{life}{own}	sup=2
{i}{be}{to}{live}{my}	sup=2
{i}{be}{to}{live}{life}	sup=2
{i}{be}{to}{live}{on}	sup=2
{i}{be}{to}{on}{my}	sup=2
{i}{be}{to}{on}{own}	sup=2
{i}{be}{all}{the}{time}	sup=2
{i}{be}{everything}	sup=2
{i}{be}{go}	sup=2
{i}{be}{here}{you}	sup=2
{i}{be}{glad}{you}{disappear}	sup=2
{i}{be}{already}	sup=2
{i}{be}{sick}{of}{wonder}	sup=2
{i}{be}{freeze}{in}{time}	sup=2
{i}{see}{it}{in}	sup=2
{i}{will}{i}{will}{not}	sup=2
{i}{will}{i}{will}{die}	sup=2
{i}{will}{i}{not}{die}	sup=2
{i}{will}{not}{i}{not}	sup=2
{i}{will}{not}{i}{die}	sup=2
{i}{will}{not}{will}{not}	sup=2
{i}{will}{not}{will}{die}	sup=2
{i}{will}{not}{die}{not}	sup=2
{i}{will}{never}	sup=2
{i}{will}{tell}{you}{now}	sup=2
