{NN_}{VBD_}	sup=81
{captain}{NNS_}	sup=2
{captain}{JJ_}	sup=2
{NN_}{NN_}{NN_}{come VBN_}	sup=2
{NN_}{NN_}{NN_}{VBP_}{NN_}	sup=2
{NN_}{NN_}{NN_}{VBP_}{JJ_}	sup=2
{NN_}{NN_}{NN_ fear}	sup=2
{NN_}{NN_}{NN_ man}	sup=2
{NN_}{NN_}{NN_ ale}	sup=2
{NN_}{NN_}{NN_ tale}	sup=2
{NN_}{NN_}{NNS_}{NN_}{NN_}	sup=2
{NN_}{NN_}{NNS_ sea}	sup=2
{NN_}{NN_}{JJ_}{JJ_}	sup=2
{NN_}{NN_}{JJ_ dead}	sup=2
{NN_}{NN_}{JJ_ holy}{NN_ grail}	sup=2
{NN_}{NN_}{come}{RB_}	sup=2
{NN_}{NN_}{VBD_}{NNS_}	sup=2
{NN_}{NN_}{VBD_}{VBN_}	sup=2
{NN_}{NN_}{VBD_ get}	sup=2
{NN_}{NN_}{VBD_ say}	sup=2
{NN_}{NN_}{IN_}{NN_}	sup=2
{NN_}{NN_}{strike}	sup=2
{NN_}{NN_}{VBP_ know}	sup=2
{NN_}{NN_}{RB_}{JJ_}	sup=2
{NN_}{NN_}{MD_}{RB_}	sup=2
{NN_}{NN_}{MD_ shall}	sup=2
{NN_}{NN_}{lose}	sup=2
{NN_}{NN_}{tell}	sup=2
{NN_}{NN_}{do}	sup=2
{NN_}{NN_ treasure}	sup=2
{NN_}{NN_ strike}	sup=2
{NN_}{NN_ day}{NN_}	sup=2
{NN_}{NN_ life}{NN_}	sup=2
{NN_}{NN_ barrel}	sup=2
{NN_}{NN_ end}{NN_}	sup=2
{NN_}{NN_ traitor}{JJ_}	sup=2
{NN_}{NN_ soul}	sup=2
{NN_}{NN_ map}{VBP_}{NN_}	sup=2
{NN_}{NN_ ain}	sup=2
{NN_}{NN_ wealth}	sup=2
{NN_}{NN_ huntmaster}{NN_}	sup=2
{NN_}{NNS_}{VBD_}{NN_}	sup=2
{NN_}{NNS_}{VBD_ know}	sup=2
{NN_}{NNS_}{VBP_ draw}	sup=2
{NN_}{NNS_}{MD_ would}{VB_}	sup=2
{NN_}{NNS_}{VBG_}{NN_}	sup=2
{NN_}{NNS_}{sail}	sup=2
{NN_}{NNS_}{get}	sup=2
{NN_}{NNS_ foe}{NN_}	sup=2
{NN_}{NNS_ fear}	sup=2
{NN_}{NNS_ mind}	sup=2
{NN_}{NNS_ sword}	sup=2
{NN_}{NNS_ depth}{NN_}	sup=2
{NN_}{NNS_ friend}	sup=2
{NN_}{NNS_ leg}	sup=2
{NN_}{starboard JJ_}{NN_ bow}	sup=2
{NN_}{JJ_}{NN_ beer}	sup=2
{NN_}{JJ_}{NNS_}{VBD_}	sup=2
{NN_}{JJ_}{NNS_ man}	sup=2
{NN_}{JJ_}{VB_}	sup=2
{NN_}{JJ_}{VBP_}{JJ_}{NN_}	sup=2
{NN_}{JJ_ mighty}	sup=2
{NN_}{JJ_ many}{NNS_ year}	sup=2
{NN_}{JJ_ dead}{NN_}	sup=2
{NN_}{JJ_ dire}	sup=2
{NN_}{JJ_ final}{NN_}	sup=2
{NN_}{JJ_ true}{NN_}	sup=2
{NN_}{JJ_ full}{NN_}	sup=2
{NN_}{JJ_ untold}	sup=2
{NN_}{JJ_ days.}{JJ_}{NNS_}	sup=2
{NN_}{quest}{NN_}	sup=2
{NN_}{come}{NNS_}	sup=2
{NN_}{come}{JJ_}{NN_}	sup=2
{NN_}{come}{VB_}{NN_}	sup=2
{NN_}{come VBD_}{NN_}	sup=2
{NN_}{VBD_}{NN_}{JJ_}	sup=2
{NN_}{VBD_}{NN_ fear}	sup=2
{NN_}{VBD_}{NNS_}{VBD_}	sup=2
{NN_}{VBD_}{JJ_}{NN_}{NN_}	sup=2
{NN_}{VBD_}{JJ_}{NNS_}	sup=2
{NN_}{VBD_}{land}	sup=2
{NN_}{VBD_ set}{NN_ sail}	sup=2
{NN_}{VBD_ make}	sup=2
{NN_}{across IN_}{NNS_}{NN_}	sup=2
{NN_}{IN_}{VBN_}	sup=2
{NN_}{IN_ beneath}	sup=2
{NN_}{IN_ without}{NN_}	sup=2
{NN_}{VBN_}{NNS_}	sup=2
{NN_}{VBN_}{JJ_}	sup=2
{NN_}{VBN_}{VB_}	sup=2
{NN_}{VBN_}{RB_}{NN_}	sup=2
{NN_}{VBN_ get}{NN_}	sup=2
{NN_}{VBN_ betray}	sup=2
{NN_}{VBN_ do}	sup=2
{NN_}{strike}{NN_}{NNS_}	sup=2
{NN_}{VBP_}{JJ_}{NNS_}	sup=2
{NN_}{VBP_}{head}	sup=2
{NN_}{VBP_ go}	sup=2
{NN_}{VBP_ get}{JJ_}	sup=2
{NN_}{VBP_ get}{drunk}	sup=2
{NN_}{back RB_}{JJ_}{NN_}	sup=2
{NN_}{RB_}{VBN_}{NN_}	sup=2
{NN_}{RB_}{VBN_ know}	sup=2
{NN_}{RB_}{VBP_}	sup=2
{NN_}{RB_ nigh}	sup=2
{NN_}{MD_}{VB_}{NNS_}{NN_}	sup=2
{NN_}{MD_}{VB_}{RB_}	sup=2
{NN_}{MD_}{VB_ take}	sup=2
{NN_}{MD_}{RB_}{JJ_}	sup=2
{NN_}{MD_ could}{RB_}	sup=2
{NN_}{go}{NN_}	sup=2
{NN_}{VBZ_ lie}	sup=2
{NN_}{face}	sup=2
